"zcta5","ZIPName","County","County2","MedianAge","pctUnder18","pctOver65","pctWhite1","pctBlack1","pctAsian1","pctHispanicPop","MedianHHInc","MedianFamInc","PovUniverse","pctpoor","pctInCollege","pctBachelorsormore","pctForeignBorn","pctRenterOcc","MedianHValue","MedianGrossRent"
"64133","Raytown MO","Jackson MO","","38.2","24.2","15.4","68.0","25.8","1.3","5.0","49802","61019","33794","9.4","23.3","25.0","4.6","27.0","113200","750"
"64134","Kansas City MO","Jackson MO","","30.8","31.2","9.4","30.6","61.6","0.6","4.8","40272","43970","21929","20.1","19.6","16.8","3.4","37.9","92900","792"
"64136","Kansas City MO","Jackson MO","","39.2","20.5","13.9","72.9","27.1","0.0","0.0","28300","61106","1962","13.5","27.8","15.7","1.1","59.6","162300","625"
"64137","Kansas City MO","Jackson MO","","32.3","21.1","11.5","55.7","29.5","4.0","10.9","51938","57383","11575","15.8","32.5","26.5","8.3","40.1","113100","745"
"64138","Kansas City MO","Jackson MO","","35.8","25.3","13.7","52.4","42.0","1.7","5.4","46766","56560","25006","13.7","23.4","19.6","4.4","35.7","107700","725"
"64139","Kansas City MO","Jackson MO","","41.5","25.4","12.4","84.1","12.3","1.6","0.3","92125","101250","1586","2.4","21.0","39.3","0.8","12.3","277900","773"
"64145","Kansas City MO","Jackson MO","","53.0","17.7","27.9","84.1","10.5","3.0","5.1","70705","93912","4522","10.7","42.2","47.0","3.7","19.0","234800","1621"
"64146","Kansas City MO","Jackson MO","","51.3","11.0","24.4","83.3","6.0","0.0","10.5","42991","42768","1642","15.5","31.5","36.1","7.4","22.1","116000","775"
"64147","Kansas City MO","Jackson MO","Cass MO","19.5","46.8","0.0","14.0","80.1","1.6","0.0","11944","4873","595","69.4","18.3","9.8","1.6","100.0","","442"
"64149","Kansas City MO","Jackson MO","","46.3","24.5","7.4","99.2","0.0","0.8","0.0","72000","82426","367","0.0","0.0","48.4","0.8","0.0","359400",""
